Year,DICSLM,Uncertainty econ positive,Uncertainty econ negative,Competition positive,Competition negative,Capital position positive,Capital position negative,Industrial prob positive,Industry prob negative,Risk tolerance positive,Risk tolerance negative,Loan liquidity positive,Loan liquidity negative
1/1/1999,-0.314,0,-0.707954545,0.272045455,-0.250568182,0.0675,-0.135227273,0,-0.548863636,0.09,-0.342045455,0.0225,-0.501136364
4/1/1999,-0.071,0.142857143,-0.430714286,0.476785714,-0.057857143,0,-0.070714286,0.117857143,-0.430714286,0.071428571,-0.546428571,0.096428571,-0.122142857
7/1/1999,-0.215,0.029117647,-0.473529412,0.279852941,-0.043970588,0.029117647,-0.027058824,0.058235294,-0.500588235,0.058235294,-0.412647059,0.058235294,-0.202941176
10/1/1999,-0.236,0.081081081,-0.700540541,0.256756757,-0.135,0.054054054,-0.08027027,0.081081081,-0.62027027,0.054054054,-0.54,0.027027027,-0.35027027
1/1/2000,-0.25,0.083333333,-0.623333333,0.104166667,-0.087083333,0,-0.045833333,0,-0.504166667,0.083333333,-0.669166667,0,-0.33
4/1/2000,-0.352,0,-0.834651163,0.092790698,-0.094651163,0.055813953,-0.094651163,0,-0.533488372,0.02372093,-0.722790698,0,-0.352790698
7/1/2000,-0.358,0.023809524,-0.977142857,0.083333333,-0.095,0,-0.072380952,0.023809524,-0.642380952,0,-0.787142857,0,-0.425238095
10/1/2000,-0.544,0.020816327,-1.000408163,0.132857143,-0.245714286,0,-0.149183673,0,-0.86,0.040408163,-0.772244898,0,-0.491428571
1/1/2001,-0.571,0.022222222,-1.337777778,0.055555556,-0.258,0,-0.133777778,0.022222222,-1.108444444,0,-1.003333333,0,-0.668888889
4/1/2001,-0.444,0,-1.418666667,0.078,-0.144666667,0,-0.242666667,0,-1.204,0,-0.952,0,-0.513333333
7/1/2001,-0.508,0.065217391,-1.24326087,0,-0.411304348,0,-0.130869565,0.065217391,-1.065652174,0.021521739,-0.785217391,0.021521739,-0.280434783
10/1/2001,-0.589,0.022727273,-1.592954545,0.045454545,-0.254090909,0.022727273,-0.087954545,0.022727273,-1.250909091,0,-0.723181818,0,-0.390909091
1/1/2002,-0.4,0,-1.3205,0.05,-0.304,0,-0.0285,0,-0.9785,0,-0.8265,0,-0.304
4/1/2002,-0.237,0,-0.776451613,0.032258065,-0.224516129,0,0,0,-0.710967742,0,-0.776451613,0,-0.318064516
7/1/2002,-0.411,0.051282051,-0.924102564,0.128205128,-0.226666667,0,-0.104615385,0.025641026,-0.714871795,0.051282051,-0.662564103,0,-0.383589744
10/1/2002,-0.291,0,-0.918648649,0.054054054,-0.187297297,0,-0.053513514,0,-0.570810811,0,-0.704594595,0,-0.401351351
1/1/2003,-0.271,0.055555556,-0.888888889,0.138888889,-0.168888889,0,-0.08,0.055555556,-0.782222222,0.027777778,-0.72,0,-0.444444444
4/1/2003,-0.146,0.025,-0.825,0.375,-0.1725,0,-0.0975,0,-0.675,0.05,-0.675,0,-0.2775
7/1/2003,0.123,0.175,-0.4745,0.5005,-0.0975,0.1015,-0.026,0.126,-0.4745,0.1015,-0.572,0.126,-0.0975
10/1/2003,0.138,0.428857143,-0.370285714,0.656857143,-0.114285714,0.059714286,0,0.200857143,-0.256,0.200857143,-0.429714286,0.141142857,-0.141714286
1/1/2004,0.268,0.605263158,-0.157368421,0.763157895,-0.027368421,0.052631579,0,0.210526316,-0.157368421,0.289473684,-0.263421053,0.210526316,0
4/1/2004,0.386,0.370526316,-0.192982456,0.64,0,0.078596491,-0.144736842,0.291929825,-0.096491228,0.269473684,-0.245614035,0.095438596,0
7/1/2004,0.308,0.428451883,-0.204351464,0.814058577,0,0.107112971,-0.051087866,0.235648536,-0.362259414,0.214225941,-0.41334728,0.171380753,0
10/1/2004,0.5,0.493376623,-0.164502165,0.833636364,0,0.1304329,-0.056277056,0.204155844,-0.372294372,0.243852814,-0.324675325,0.187142857,0
1/1/2005,0.455,0.563142857,-0.144,1.141714286,-0.029714286,0.200571429,-0.029714286,0.27,-0.260571429,0.486,-0.171428571,0.316285714,-0.029714286
4/1/2005,0.704,0.538181818,-0.095454545,1.522045455,-0.031818182,0.159772727,0,0.218636364,-0.095454545,0.420454545,-0.079545455,0.395227273,0
7/1/2005,0.463,0.465384615,-0.050769231,1.387692308,-0.026153846,0.152307692,-0.026153846,0.253846154,-0.103076923,0.490769231,-0.026153846,0.262307692,-0.026153846
10/1/2005,0.456,0.189,-0.186,1.218,0,0.063,0,0.021,-0.162,0.364,-0.114,0.147,-0.024
1/1/2006,0.425,0.21627907,-0.161860465,1.11744186,-0.092093023,0.072093023,-0.04744186,0.144186047,-0.231627907,0.324418605,-0.186976744,0.230697674,-0.092093023
4/1/2006,0.597,0.154375,-0.140625,1.356875,0,0,0,0.065,-0.125625,0.333125,-0.118125,0.381875,-0.024375
7/1/2006,0.418,0.226829268,-0.195853659,1.192682927,-0.048292683,0.087804878,0,0.109756098,-0.147560976,0.226829268,-0.171707317,0.270731707,-0.048292683
10/1/2006,0.296,0.16,-0.283333333,1.173333333,-0.103333333,0.026666667,-0.05,0.026666667,-0.206666667,0.133333333,-0.206666667,0.213333333,-0.05
1/1/2007,0.446,0.161860465,-0.250697674,1.119534884,-0.149767442,0.06744186,-0.12372093,0.020232558,-0.224651163,0.114651163,-0.224651163,0.094418605,-0.074883721
4/1/2007,0.528,0.046666667,-0.143333333,1,-0.096666667,0.026666667,0,0.093333333,-0.143333333,0.166666667,-0.166666667,0.38,-0.046666667
7/1/2007,0.321,0.092857143,-0.24,1.046190476,-0.072380952,0.024761905,-0.022857143,0.04952381,-0.167619048,0.191904762,-0.213333333,0.117619048,-0.144761905
10/1/2007,-0.346,0.096774194,-0.931935484,0.129032258,-0.513870968,0.096774194,-0.191612903,0.096774194,-0.609677419,0.193548387,-0.679354839,0.096774194,-0.740322581
1/1/2008,-0.436,0.104166667,-1.020833333,0.191489362,-0.319148936,0.086956522,-0.239130435,0.063829787,-0.872340426,0.127659574,-0.787234043,0.02173913,-0.5
4/1/2008,-0.71,0.041666667,-1.375,0,-0.479166667,0.020833333,-0.416666667,0.041666667,-0.979166667,0,-0.875,0,-0.666666667
7/1/2008,-0.808,0,-1.5,0,-0.575,0,-0.30952381,0,-1.095238095,0,-1.075,0,-0.536585366
10/1/2008,-0.982,0,-1.622641509,0,-0.58490566,0,-0.5,0,-1.115384615,0,-1.245283019,0,-0.735849057
1/1/2009,-0.925,0,-1.714285714,0,-0.653061224,0,-0.306122449,0,-1.346938776,0,-1.12244898,0,-0.571428571
4/1/2009,-0.792,0,-1.422222222,0,-0.568181818,0.022222222,-0.4,0,-1.186046512,0,-0.954545455,0,-0.613636364
7/1/2009,-0.593,0.047619048,-1.333333333,0.097560976,-0.365853659,0.047619048,-0.333333333,0,-1,0.024390244,-0.87804878,0.048780488,-0.341463415
10/1/2009,-0.404,0.189189189,-0.891891892,0.216216216,-0.405405405,0.054054054,-0.189189189,0.081081081,-0.783783784,0.027027027,-0.918918919,0.054054054,-0.297297297
1/1/2010,-0.091,0.323529412,-0.529411765,0.470588235,-0.117647059,0.088235294,-0.205882353,0.117647059,-0.441176471,0.117647059,-0.588235294,0.205882353,-0.294117647
4/1/2010,0.071,0.411764706,-0.470588235,0.705882353,-0.088235294,0.058823529,-0.176470588,0.181818182,-0.303030303,0.147058824,-0.588235294,0.205882353,-0.235294118
7/1/2010,0.491,0.444444444,-0.333333333,1.111111111,-0.022222222,0.111111111,-0.044444444,0.2,-0.288888889,0.133333333,-0.266666667,0.2,-0.133333333
10/1/2010,0.333,0.444444444,-0.361111111,1.083333333,-0.055555556,0.083333333,-0.166666667,0.333333333,-0.222222222,0.138888889,-0.416666667,0.277777778,-0.194444444
1/1/2011,0.474,0.619047619,-0.238095238,1,-0.071428571,0.119047619,-0.071428571,0.19047619,-0.166666667,0.19047619,-0.261904762,0.19047619,-0.166666667
4/1/2011,0.545,0.463414634,-0.097560976,1.285714286,-0.023809524,0.12195122,-0.048780488,0.2,-0.075,0.175,-0.15,0.325,-0.15
7/1/2011,0.545,0.363636364,-0.113636364,1.326086957,-0.043478261,0.090909091,-0.045454545,0.204545455,-0.045454545,0.159090909,-0.113636364,0.204545455,-0.113636364
10/1/2011,0.412,0.171428571,-0.4,1.114285714,-0.085714286,0.142857143,-0.028571429,0.171428571,-0.057142857,0.114285714,-0.142857143,0.228571429,-0.2
1/1/2012,0.464,0.210526316,-0.210526316,1.153846154,-0.051282051,0,-0.052631579,0.108108108,-0.054054054,0.131578947,-0.184210526,0.184210526,-0.078947368
4/1/2012,0.603,0.390243902,-0.097560976,1.268292683,-0.024390244,0.073170732,-0.048780488,0.170731707,-0.097560976,0.219512195,-0.12195122,0.195121951,-0.048780488
7/1/2012,0.603,0.229166667,-0.145833333,1.166666667,-0.0625,0.0625,-0.020833333,0.083333333,-0.104166667,0.14893617,-0.106382979,0.127659574,-0.021276596
10/1/2012,0.538,0.255319149,-0.085106383,1.346938776,-0.040816327,0.173913043,0,0.173913043,-0.086956522,0.326086957,-0.086956522,0.239130435,-0.043478261
1/1/2013,0.544,0.346153846,-0.019230769,1.41509434,0,0.176470588,0,0.215686275,-0.019607843,0.244897959,-0.06122449,0.204081633,0
4/1/2013,0.632,0.42,-0.04,1.480769231,0,0.081632653,0,0.16,-0.02,0.204081633,-0.020408163,0.183673469,0
7/1/2013,0.625,0.448275862,-0.103448276,1.465517241,-0.034482759,0.122807018,-0.035087719,0.163636364,-0.054545455,0.280701754,-0.105263158,0.263157895,-0.052631579
10/1/2013,0.542,0.333333333,-0.104166667,1.541666667,0,0.083333333,0,0.145833333,-0.0625,0.291666667,-0.041666667,0.208333333,0
1/1/2014,0.583,0.545454545,-0.036363636,1.454545455,0,0.12962963,0,0.2,-0.036363636,0.272727273,-0.109090909,0.181818182,0
4/1/2014,0.597,0.385964912,-0.035087719,1.438596491,0,0.107142857,0,0.228070175,-0.035087719,0.298245614,-0.105263158,0.210526316,0
7/1/2014,0.587,0.462962963,0,1.481481481,-0.018518519,0.111111111,-0.018518519,0.166666667,-0.018518519,0.203703704,-0.018518519,0.222222222,0
10/1/2014,0.474,0.38,-0.02,1.551020408,0,0.081632653,0,0.12,-0.02,0.244897959,-0.040816327,0.12244898,-0.040816327
1/1/2015,0.356,0.407407407,-0.111111111,1.092592593,-0.055555556,0.12962963,-0.037037037,0.240740741,-0.203703704,0.185185185,-0.092592593,0.148148148,-0.055555556
4/1/2015,0.4,0.381818182,-0.127272727,1.218181818,-0.036363636,0.145454545,-0.018181818,0.254545455,-0.181818182,0.327272727,-0.090909091,0.181818182,-0.054545455
7/1/2015,0.429,0.3,-0.06,1.367346939,0,0.106382979,-0.021276596,0.145833333,-0.145833333,0.285714286,-0.12244898,0.142857143,-0.020408163
10/1/2015,0.206,0.183673469,-0.285714286,0.8,-0.02,0.041666667,-0.041666667,0.102040816,-0.367346939,0.183673469,-0.142857143,0.163265306,-0.12244898
1/1/2016,0.167,0.226415094,-0.339622642,0.830188679,-0.132075472,0.132075472,-0.037735849,0.188679245,-0.509433962,0.283018868,-0.20754717,0.169811321,-0.20754717
4/1/2016,0.029,0.191489362,-0.553191489,0.541666667,-0.145833333,0.043478261,-0.086956522,0.085106383,-0.531914894,0.170212766,-0.276595745,0.085106383,-0.14893617
7/1/2016,0.057,0.177777778,-0.444444444,0.6,-0.111111111,0.088888889,-0.088888889,0.177777778,-0.422222222,0.133333333,-0.288888889,0.044444444,-0.155555556
10/1/2016,0.088,0.186046512,-0.372093023,0.744186047,-0.139534884,0.11627907,-0.046511628,0.11627907,-0.302325581,0.227272727,-0.227272727,0.162790698,-0.093023256
